MSTRG.2	Zm00001d027230
MSTRG.14493	Zm00001d002754
MSTRG.14494	Zm00001d002755
MSTRG.14495	Zm00001d002756
MSTRG.14496	Zm00001d002768
MSTRG.14497	Zm00001d002759
MSTRG.14498	Zm00001d002757
MSTRG.14499	Zm00001d002760
MSTRG.14500	Zm00001d002761
MSTRG.14501	Zm00001d002762
MSTRG.14502	Zm00001d002774
MSTRG.14503	Zm00001d002769
MSTRG.14504	Zm00001d002770
MSTRG.14506	Zm00001d002771
MSTRG.14507	Zm00001d002772
MSTRG.14508	Zm00001d002773
MSTRG.14510	Zm00001d002775
MSTRG.14511	Zm00001d002776
MSTRG.14512	Zm00001d002777
MSTRG.14513	Zm00001d002778
MSTRG.14514	Zm00001d002790
MSTRG.14516	Zm00001d002781
MSTRG.14518	Zm00001d002782
MSTRG.14519	Zm00001d002783
MSTRG.14521	Zm00001d002784
MSTRG.14522	Zm00001d002787
MSTRG.14523	Zm00001d002788
MSTRG.14524	Zm00001d002789
MSTRG.14525	Zm00001d002797
MSTRG.14526	Zm00001d002799
MSTRG.14527	Zm00001d002791
MSTRG.14528	Zm00001d002793
MSTRG.14529	Zm00001d002794
MSTRG.14530	Zm00001d002796
MSTRG.14532	Zm00001d002801
MSTRG.14533	Zm00001d002798
MSTRG.14535	Zm00001d002802
MSTRG.14536	Zm00001d002803
MSTRG.14537	Zm00001d002804
MSTRG.14538	Zm00001d002805
MSTRG.14539	Zm00001d002806
MSTRG.14541	Zm00001d002811
MSTRG.14543	Zm00001d002809
MSTRG.14545	Zm00001d002814
MSTRG.14546	Zm00001d002810
MSTRG.14548	Zm00001d002819
MSTRG.14549	Zm00001d002812
MSTRG.14550	Zm00001d002813
MSTRG.14553	Zm00001d002815
MSTRG.14554	Zm00001d002816
MSTRG.14555	Zm00001d002817
MSTRG.14556	Zm00001d002818
MSTRG.14558	Zm00001d002820
MSTRG.14559	Zm00001d002821
MSTRG.14560	Zm00001d002824
MSTRG.14561	Zm00001d002825
MSTRG.14562	Zm00001d002822
MSTRG.14563	Zm00001d002823
MSTRG.14563	Zm00001d002827
MSTRG.14565	Zm00001d002826
MSTRG.14566	Zm00001d002875
MSTRG.14568	Zm00001d002876
MSTRG.14570	Zm00001d002878
MSTRG.14572	Zm00001d002879
MSTRG.14574	Zm00001d002880
MSTRG.14575	Zm00001d002881
MSTRG.14576	Zm00001d002882
MSTRG.14577	Zm00001d002884
MSTRG.14580	Zm00001d002886
MSTRG.14581	Zm00001d002887
MSTRG.14583	Zm00001d002830
MSTRG.14584	Zm00001d002833
MSTRG.14586	Zm00001d002834
MSTRG.14587	Zm00001d002835
MSTRG.14588	Zm00001d002836
MSTRG.14589	Zm00001d002837
MSTRG.14590	Zm00001d002838
MSTRG.14591	Zm00001d002839
MSTRG.14592	Zm00001d002841
MSTRG.14593	Zm00001d002842
MSTRG.14594	Zm00001d002843
MSTRG.14596	Zm00001d002848
MSTRG.14597	Zm00001d002844
MSTRG.14599	Zm00001d002845
MSTRG.14600	Zm00001d002846
MSTRG.14601	Zm00001d002850
MSTRG.14602	Zm00001d002847
MSTRG.14603	Zm00001d002849
MSTRG.14604	Zm00001d002864
MSTRG.14605	Zm00001d002851
MSTRG.14606	Zm00001d002852
MSTRG.14608	Zm00001d002853
MSTRG.14609	Zm00001d002854
MSTRG.14612	Zm00001d002860
MSTRG.14613	Zm00001d002856
MSTRG.14615	Zm00001d002857
MSTRG.14617	Zm00001d002859
MSTRG.14620	Zm00001d002862
MSTRG.14621	Zm00001d002863
MSTRG.14622	Zm00001d002865
MSTRG.14623	Zm00001d002866
MSTRG.14624	Zm00001d002867
MSTRG.14625	Zm00001d002868
MSTRG.14626	Zm00001d002869
MSTRG.14627	Zm00001d002870
MSTRG.14628	Zm00001d002871
MSTRG.14628	Zm00001d002873
MSTRG.14629	Zm00001d002874
MSTRG.14631	Zm00001d002872
MSTRG.14633	Zm00001d002891
MSTRG.14634	Zm00001d002888
MSTRG.14635	Zm00001d002889
MSTRG.14636	Zm00001d002890
MSTRG.14637	Zm00001d002896
MSTRG.14638	Zm00001d002893
MSTRG.14640	Zm00001d002897
MSTRG.14641	Zm00001d002898
MSTRG.14642	Zm00001d002899
MSTRG.14643	Zm00001d002900
MSTRG.14644	Zm00001d002901
MSTRG.14645	Zm00001d002902
MSTRG.14646	Zm00001d002907
MSTRG.14647	Zm00001d002915
MSTRG.14648	Zm00001d002905
MSTRG.14648	Zm00001d002906
MSTRG.14651	Zm00001d002917
MSTRG.14652	Zm00001d002916
MSTRG.14657	Zm00001d002930
MSTRG.14660	Zm00001d002919
MSTRG.14662	Zm00001d002922
MSTRG.14663	Zm00001d002925
MSTRG.14666	Zm00001d002928
MSTRG.14667	Zm00001d002929
MSTRG.14668	Zm00001d002994
MSTRG.14669	Zm00001d003028
MSTRG.14674	Zm00001d003031
MSTRG.14677	Zm00001d003032
MSTRG.14678	Zm00001d003005
MSTRG.14679	Zm00001d002996
MSTRG.14681	Zm00001d002997
MSTRG.14682	Zm00001d002998
MSTRG.14684	Zm00001d002999
MSTRG.14686	Zm00001d003000
MSTRG.14687	Zm00001d003001
MSTRG.14688	Zm00001d003002
MSTRG.14688	Zm00001d003003
MSTRG.14689	Zm00001d003015
MSTRG.14689	Zm00001d003016
MSTRG.14690	Zm00001d003004
MSTRG.14691	Zm00001d003006
MSTRG.14692	Zm00001d003007
MSTRG.14694	Zm00001d003009
MSTRG.14695	Zm00001d003010
MSTRG.14696	Zm00001d003011
MSTRG.14698	Zm00001d003012
MSTRG.14699	Zm00001d003013
MSTRG.14700	Zm00001d003014
MSTRG.14702	Zm00001d003017
MSTRG.14704	Zm00001d003018
MSTRG.14705	Zm00001d003019
MSTRG.14706	Zm00001d003020
MSTRG.14707	Zm00001d003021
MSTRG.14708	Zm00001d003022
MSTRG.14709	Zm00001d003023
MSTRG.14710	Zm00001d003024
MSTRG.14711	Zm00001d003025
MSTRG.14713	Zm00001d003027
MSTRG.14714	Zm00001d003053
MSTRG.14716	Zm00001d003057
MSTRG.14717	Zm00001d003052
MSTRG.14719	Zm00001d003076
MSTRG.14721	Zm00001d003081
MSTRG.14723	Zm00001d003062
MSTRG.14724	Zm00001d003058
MSTRG.14724	Zm00001d003059
MSTRG.14726	Zm00001d003060
MSTRG.14727	Zm00001d003061
MSTRG.14728	Zm00001d003064
MSTRG.14730	Zm00001d003066
MSTRG.14732	Zm00001d003067
MSTRG.14732	Zm00001d003068
MSTRG.14733	Zm00001d003069
MSTRG.14734	Zm00001d003070
MSTRG.14735	Zm00001d003071
MSTRG.14736	Zm00001d003072
MSTRG.14739	Zm00001d003074
MSTRG.14740	Zm00001d003075
MSTRG.14743	Zm00001d003083
MSTRG.14744	Zm00001d003082
MSTRG.14745	Zm00001d002936
MSTRG.14748	Zm00001d002933
MSTRG.14749	Zm00001d002934
MSTRG.14751	Zm00001d002937
MSTRG.14753	Zm00001d002939
MSTRG.14754	Zm00001d002938
MSTRG.14755	Zm00001d002944
MSTRG.14757	Zm00001d002943
MSTRG.14758	Zm00001d002940
MSTRG.14759	Zm00001d002941
MSTRG.14759	Zm00001d002942
MSTRG.14760	Zm00001d002955
MSTRG.14761	Zm00001d002945
MSTRG.14762	Zm00001d002946
MSTRG.14763	Zm00001d002958
MSTRG.14764	Zm00001d002949
MSTRG.14765	Zm00001d002962
MSTRG.14765	Zm00001d002964
MSTRG.14766	Zm00001d002950
MSTRG.14767	Zm00001d002951
MSTRG.14768	Zm00001d002952
MSTRG.14769	Zm00001d002953
MSTRG.14770	Zm00001d002965
MSTRG.14771	Zm00001d002966
MSTRG.14773	Zm00001d002959
MSTRG.14775	Zm00001d002954
MSTRG.14778	Zm00001d002956
MSTRG.14779	Zm00001d002957
MSTRG.14780	Zm00001d002960
MSTRG.14781	Zm00001d002961
MSTRG.14782	Zm00001d002963
MSTRG.14784	Zm00001d002967
MSTRG.14788	Zm00001d002968
MSTRG.14790	Zm00001d002969
MSTRG.14792	Zm00001d002970
MSTRG.14794	Zm00001d002971
MSTRG.14795	Zm00001d002972
MSTRG.14798	Zm00001d002973
MSTRG.14800	Zm00001d002974
MSTRG.14803	Zm00001d002975
MSTRG.14804	Zm00001d002976
MSTRG.14805	Zm00001d002977
MSTRG.14806	Zm00001d002978
MSTRG.14808	Zm00001d002989
MSTRG.14809	Zm00001d002979
MSTRG.14810	Zm00001d002980
MSTRG.14812	Zm00001d002982
MSTRG.14813	Zm00001d002984
MSTRG.14815	Zm00001d002987
MSTRG.14816	Zm00001d002992
MSTRG.14817	Zm00001d002988
MSTRG.14818	Zm00001d002990
MSTRG.14819	Zm00001d002991
MSTRG.14821	Zm00001d002993
MSTRG.14823	Zm00001d003034
MSTRG.14823	Zm00001d003035
MSTRG.14824	Zm00001d003033
MSTRG.14827	Zm00001d003044
MSTRG.14827	Zm00001d003045
MSTRG.14827	Zm00001d003046
MSTRG.14828	Zm00001d003036
MSTRG.14829	Zm00001d003037
MSTRG.14831	Zm00001d003038
MSTRG.14833	Zm00001d003039
MSTRG.14834	Zm00001d003040
MSTRG.14835	Zm00001d003041
MSTRG.14836	Zm00001d003043
MSTRG.14840	Zm00001d003047
MSTRG.14841	Zm00001d003048
MSTRG.14842	Zm00001d003049
MSTRG.14844	Zm00001d003050
MSTRG.14846	Zm00001d003051
MSTRG.14850	Zm00001d003099
MSTRG.14853	Zm00001d003084
MSTRG.14857	Zm00001d003085
MSTRG.14858	Zm00001d003086
MSTRG.14859	Zm00001d003087
MSTRG.14863	Zm00001d003088
MSTRG.14864	Zm00001d003089
MSTRG.14865	Zm00001d003090
MSTRG.14866	Zm00001d003091
MSTRG.14868	Zm00001d003092
MSTRG.14870	Zm00001d003093
MSTRG.14873	Zm00001d003096
MSTRG.14874	Zm00001d003101
MSTRG.14874	Zm00001d003102
MSTRG.14875	Zm00001d003106
MSTRG.14876	Zm00001d003104
MSTRG.14877	Zm00001d003103
MSTRG.14878	Zm00001d003107
MSTRG.14880	Zm00001d003108
MSTRG.14883	Zm00001d003109
MSTRG.14884	Zm00001d003110
MSTRG.14885	Zm00001d003112
MSTRG.14888	Zm00001d003117
MSTRG.14889	Zm00001d003118
MSTRG.14890	Zm00001d003114
MSTRG.14892	Zm00001d003115
MSTRG.14893	Zm00001d003116
MSTRG.14896	Zm00001d003119
MSTRG.14897	Zm00001d003120
MSTRG.14899	Zm00001d003145
MSTRG.14900	Zm00001d003121
MSTRG.14900	Zm00001d003122
MSTRG.14902	Zm00001d003123
MSTRG.14904	Zm00001d003124
MSTRG.14905	Zm00001d003125
MSTRG.14906	Zm00001d003126
MSTRG.14907	Zm00001d003127
MSTRG.14908	Zm00001d003128
MSTRG.14909	Zm00001d003129
MSTRG.14911	Zm00001d003131
MSTRG.14912	Zm00001d003132
MSTRG.14913	Zm00001d003134
MSTRG.14914	Zm00001d003135
MSTRG.14915	Zm00001d003136
MSTRG.14916	Zm00001d003138
MSTRG.14917	Zm00001d003139
MSTRG.14918	Zm00001d003140
MSTRG.14919	Zm00001d003141
MSTRG.14920	Zm00001d003142
MSTRG.14921	Zm00001d003143
MSTRG.14922	Zm00001d003144
MSTRG.14926	Zm00001d003171
MSTRG.14927	Zm00001d003167
MSTRG.14928	Zm00001d003168
MSTRG.14929	Zm00001d003169
MSTRG.14930	Zm00001d003157
MSTRG.14930	Zm00001d003160
MSTRG.14932	Zm00001d003146
MSTRG.14934	Zm00001d003147
MSTRG.14935	Zm00001d003148
MSTRG.14936	Zm00001d003149
MSTRG.14937	Zm00001d003150
MSTRG.14938	Zm00001d003151
MSTRG.14939	Zm00001d003152
MSTRG.14940	Zm00001d003153
MSTRG.14941	Zm00001d003154
MSTRG.14942	Zm00001d003155
MSTRG.14943	Zm00001d003156
MSTRG.14944	Zm00001d003158
MSTRG.14945	Zm00001d003159
MSTRG.14946	Zm00001d003161
MSTRG.14948	Zm00001d003162
MSTRG.14950	Zm00001d003163
MSTRG.14951	Zm00001d003164
MSTRG.14954	Zm00001d003166
MSTRG.14956	Zm00001d003172
MSTRG.14957	Zm00001d003173
MSTRG.14958	Zm00001d003174
MSTRG.14959	Zm00001d003175
MSTRG.14960	Zm00001d003176
MSTRG.14962	Zm00001d003179
MSTRG.14972	Zm00001d003209
MSTRG.14973	Zm00001d003183
MSTRG.14975	Zm00001d003180
MSTRG.14977	Zm00001d003181
MSTRG.14979	Zm00001d003182
MSTRG.14980	Zm00001d003190
MSTRG.14981	Zm00001d003184
MSTRG.14982	Zm00001d003185
MSTRG.14983	Zm00001d003186
MSTRG.14984	Zm00001d003187
MSTRG.14985	Zm00001d003188
MSTRG.14986	Zm00001d003189
MSTRG.14987	Zm00001d003191
MSTRG.14989	Zm00001d003196
MSTRG.14990	Zm00001d003192
MSTRG.14992	Zm00001d003193
MSTRG.14993	Zm00001d003194
MSTRG.14994	Zm00001d003197
MSTRG.14995	Zm00001d003195
MSTRG.14996	Zm00001d003198
MSTRG.14997	Zm00001d003199
MSTRG.14998	Zm00001d003200
MSTRG.14999	Zm00001d003202
MSTRG.15000	Zm00001d003203
MSTRG.15003	Zm00001d003207
MSTRG.15010	Zm00001d003220
MSTRG.15013	Zm00001d003210
MSTRG.15015	Zm00001d003211
MSTRG.15016	Zm00001d003212
MSTRG.15018	Zm00001d003213
MSTRG.15020	Zm00001d003214
MSTRG.15022	Zm00001d003216
MSTRG.15023	Zm00001d003217
MSTRG.15024	Zm00001d003223
MSTRG.15025	Zm00001d003222
MSTRG.15027	Zm00001d003227
MSTRG.15028	Zm00001d003224
MSTRG.15029	Zm00001d003226
MSTRG.15031	Zm00001d003237
MSTRG.15032	Zm00001d003228
MSTRG.15034	Zm00001d003229
MSTRG.15035	Zm00001d003230
MSTRG.15036	Zm00001d003231
MSTRG.15040	Zm00001d003245
MSTRG.15041	Zm00001d003242
MSTRG.15045	Zm00001d003246
MSTRG.15048	Zm00001d003239
MSTRG.15050	Zm00001d003247
MSTRG.15051	Zm00001d003248
MSTRG.15052	Zm00001d003249
MSTRG.15053	Zm00001d003293
MSTRG.15054	Zm00001d003294
MSTRG.15054	Zm00001d003295
MSTRG.15055	Zm00001d003250
MSTRG.15055	Zm00001d003256
MSTRG.15056	Zm00001d003251
MSTRG.15057	Zm00001d003252
MSTRG.15058	Zm00001d003261
MSTRG.15059	Zm00001d003254
MSTRG.15060	Zm00001d003255
MSTRG.15062	Zm00001d003257
MSTRG.15063	Zm00001d003258
MSTRG.15064	Zm00001d003259
MSTRG.15067	Zm00001d003262
MSTRG.15068	Zm00001d003264
MSTRG.15069	Zm00001d003265
MSTRG.15070	Zm00001d003266
MSTRG.15071	Zm00001d003267
MSTRG.15073	Zm00001d003268
MSTRG.15075	Zm00001d003269
MSTRG.15076	Zm00001d003270
MSTRG.15077	Zm00001d003271
MSTRG.15078	Zm00001d003272
MSTRG.15079	Zm00001d003273
MSTRG.15079	Zm00001d003274
MSTRG.15079	Zm00001d003273
MSTRG.15081	Zm00001d003275
MSTRG.15082	Zm00001d003276
MSTRG.15083	Zm00001d003277
MSTRG.15083	Zm00001d003279
MSTRG.15084	Zm00001d003278
MSTRG.15085	Zm00001d003280
MSTRG.15086	Zm00001d003281
MSTRG.15088	Zm00001d003282
MSTRG.15089	Zm00001d003283
MSTRG.15090	Zm00001d003284
MSTRG.15092	Zm00001d003292
MSTRG.15093	Zm00001d003285
MSTRG.15094	Zm00001d003286
MSTRG.15095	Zm00001d003287
MSTRG.15096	Zm00001d003288
MSTRG.15097	Zm00001d003289
MSTRG.15098	Zm00001d003290
MSTRG.15099	Zm00001d003291
MSTRG.15102	Zm00001d003296
MSTRG.15103	Zm00001d003297
MSTRG.15104	Zm00001d003298
MSTRG.15108	Zm00001d003300
MSTRG.15109	Zm00001d003301
MSTRG.15110	Zm00001d003302
MSTRG.15111	Zm00001d003303
MSTRG.15112	Zm00001d003304
MSTRG.15112	Zm00001d003306
MSTRG.15114	Zm00001d003311
MSTRG.15115	Zm00001d003309
MSTRG.15116	Zm00001d003307
MSTRG.15118	Zm00001d003308
MSTRG.15119	Zm00001d003310
MSTRG.15120	Zm00001d003312
MSTRG.15121	Zm00001d003313
MSTRG.15122	Zm00001d003314
MSTRG.15123	Zm00001d003315
MSTRG.15124	Zm00001d003316
MSTRG.15125	Zm00001d003317
MSTRG.15126	Zm00001d003331
MSTRG.15127	Zm00001d003332
MSTRG.15129	Zm00001d003319
MSTRG.15130	Zm00001d003320
MSTRG.15131	Zm00001d003321
MSTRG.15132	Zm00001d003322
MSTRG.15134	Zm00001d003324
MSTRG.15138	Zm00001d003328
MSTRG.15139	Zm00001d003329
MSTRG.15142	Zm00001d003333
MSTRG.15143	Zm00001d003334
MSTRG.15145	Zm00001d003336
MSTRG.15147	Zm00001d003343
MSTRG.15149	Zm00001d003344
MSTRG.15150	Zm00001d003352
MSTRG.15151	Zm00001d003353
MSTRG.15152	Zm00001d003345
MSTRG.15152	Zm00001d003346
MSTRG.15153	Zm00001d003347
MSTRG.15154	Zm00001d003348
MSTRG.15155	Zm00001d003349
MSTRG.15156	Zm00001d003354
MSTRG.15158	Zm00001d003355
MSTRG.15159	Zm00001d003356
MSTRG.15160	Zm00001d003357
MSTRG.15160	Zm00001d003358
MSTRG.15161	Zm00001d003359
MSTRG.15166	Zm00001d003369
MSTRG.15167	Zm00001d003363
MSTRG.15168	Zm00001d003364
MSTRG.15169	Zm00001d003365
MSTRG.15170	Zm00001d003366
MSTRG.15172	Zm00001d003367
MSTRG.15174	Zm00001d003368
MSTRG.15175	Zm00001d003370
MSTRG.15177	Zm00001d003485
MSTRG.15178	Zm00001d003483
MSTRG.15179	Zm00001d003457
MSTRG.15180	Zm00001d003459
MSTRG.15180	Zm00001d003460
MSTRG.15181	Zm00001d003451
MSTRG.15182	Zm00001d003452
MSTRG.15186	Zm00001d003468
MSTRG.15188	Zm00001d003462
MSTRG.15189	Zm00001d003463
MSTRG.15191	Zm00001d003464
MSTRG.15193	Zm00001d003467
MSTRG.15194	Zm00001d003476
MSTRG.15196	Zm00001d003469
MSTRG.15197	Zm00001d003470
MSTRG.15199	Zm00001d003471
MSTRG.15200	Zm00001d003477
MSTRG.15201	Zm00001d003473
MSTRG.15202	Zm00001d003472
MSTRG.15203	Zm00001d003474
MSTRG.15204	Zm00001d003475
MSTRG.15208	Zm00001d003479
MSTRG.15209	Zm00001d003480
MSTRG.15210	Zm00001d003481
MSTRG.15211	Zm00001d003482
MSTRG.15212	Zm00001d003373
MSTRG.15213	Zm00001d003372
MSTRG.15214	Zm00001d003373
MSTRG.15215	Zm00001d003374
MSTRG.15217	Zm00001d003379
MSTRG.15218	Zm00001d003375
MSTRG.15221	Zm00001d003376
MSTRG.15222	Zm00001d003377
MSTRG.15223	Zm00001d003378
MSTRG.15224	Zm00001d003381
MSTRG.15225	Zm00001d003380
MSTRG.15226	Zm00001d003382
MSTRG.15227	Zm00001d003383
MSTRG.15229	Zm00001d003386
MSTRG.15234	Zm00001d003389
MSTRG.15235	Zm00001d003390
MSTRG.15236	Zm00001d003392
MSTRG.15237	Zm00001d003393
MSTRG.15238	Zm00001d003394
MSTRG.15240	Zm00001d003401
MSTRG.15241	Zm00001d003395
MSTRG.15243	Zm00001d003396
MSTRG.15244	Zm00001d003397
MSTRG.15245	Zm00001d003398
MSTRG.15246	Zm00001d003399
MSTRG.15248	Zm00001d003400
MSTRG.15251	Zm00001d003403
MSTRG.15252	Zm00001d003404
MSTRG.15253	Zm00001d003405
MSTRG.15254	Zm00001d003406
MSTRG.15257	Zm00001d003414
MSTRG.15259	Zm00001d003408
MSTRG.15259	Zm00001d003409
MSTRG.15260	Zm00001d003410
MSTRG.15261	Zm00001d003411
MSTRG.15261	Zm00001d003412
MSTRG.15262	Zm00001d003413
MSTRG.15263	Zm00001d003422
MSTRG.15264	Zm00001d003415
MSTRG.15264	Zm00001d003426
MSTRG.15268	Zm00001d003417
MSTRG.15269	Zm00001d003418
MSTRG.15270	Zm00001d003419
MSTRG.15271	Zm00001d003420
MSTRG.15272	Zm00001d003429
MSTRG.15274	Zm00001d003423
MSTRG.15275	Zm00001d003424
MSTRG.15277	Zm00001d003425
MSTRG.15278	Zm00001d003427
MSTRG.15279	Zm00001d003430
MSTRG.15280	Zm00001d003428
MSTRG.15282	Zm00001d003435
MSTRG.15284	Zm00001d003431
MSTRG.15285	Zm00001d003432
MSTRG.15286	Zm00001d003434
MSTRG.15287	Zm00001d003446
MSTRG.15288	Zm00001d003436
MSTRG.15289	Zm00001d003438
MSTRG.15293	Zm00001d003439
MSTRG.15294	Zm00001d003440
MSTRG.15295	Zm00001d003441
MSTRG.15296	Zm00001d003442
MSTRG.15297	Zm00001d003443
MSTRG.15299	Zm00001d003448
MSTRG.15300	Zm00001d003445
MSTRG.15301	Zm00001d003447
MSTRG.15303	Zm00001d003491
MSTRG.15305	Zm00001d003488
MSTRG.15306	Zm00001d003497
MSTRG.15307	Zm00001d003489
MSTRG.15308	Zm00001d003493
MSTRG.15309	Zm00001d003490
MSTRG.15310	Zm00001d003492
MSTRG.15312	Zm00001d003494
MSTRG.15312	Zm00001d003495
MSTRG.15312	Zm00001d003494
MSTRG.15312	Zm00001d003495
MSTRG.15316	Zm00001d003496
MSTRG.15318	Zm00001d003504
MSTRG.15318	Zm00001d003511
MSTRG.15318	Zm00001d003512
MSTRG.15318	Zm00001d003513
MSTRG.15319	Zm00001d003499
MSTRG.15320	Zm00001d003500
MSTRG.15321	Zm00001d003501
MSTRG.15323	Zm00001d003502
MSTRG.15324	Zm00001d003505
MSTRG.15325	Zm00001d003508
MSTRG.15327	Zm00001d003509
MSTRG.15328	Zm00001d003510
MSTRG.15329	Zm00001d003514
MSTRG.15330	Zm00001d003515
MSTRG.15331	Zm00001d003518
MSTRG.15332	Zm00001d003516
MSTRG.15334	Zm00001d003517
MSTRG.15336	Zm00001d003519
MSTRG.15338	Zm00001d003520
MSTRG.15339	Zm00001d003521
MSTRG.15340	Zm00001d003522
MSTRG.15342	Zm00001d003523
MSTRG.15344	Zm00001d003524
MSTRG.15346	Zm00001d003525
MSTRG.15347	Zm00001d003528
MSTRG.15348	Zm00001d003529
MSTRG.15351	Zm00001d003530
MSTRG.15353	Zm00001d003531
MSTRG.15357	Zm00001d003545
MSTRG.15358	Zm00001d003543
MSTRG.15359	Zm00001d003544
MSTRG.15362	Zm00001d003550
MSTRG.15363	Zm00001d003546
MSTRG.15365	Zm00001d003547
MSTRG.15366	Zm00001d003548
MSTRG.15367	Zm00001d003549
MSTRG.15368	Zm00001d003533
MSTRG.15370	Zm00001d003534
MSTRG.15371	Zm00001d003535
MSTRG.15372	Zm00001d003539
MSTRG.15373	Zm00001d003540
MSTRG.15374	Zm00001d003538
MSTRG.15378	Zm00001d003552
MSTRG.15379	Zm00001d003553
MSTRG.15381	Zm00001d003554
MSTRG.15382	Zm00001d003555
MSTRG.15383	Zm00001d003556
MSTRG.15386	Zm00001d003566
MSTRG.15389	Zm00001d003559
MSTRG.15392	Zm00001d003567
MSTRG.15393	Zm00001d003571
MSTRG.15394	Zm00001d003569
MSTRG.15395	Zm00001d003577
MSTRG.15396	Zm00001d003579
MSTRG.15398	Zm00001d003581
MSTRG.15400	Zm00001d003572
MSTRG.15401	Zm00001d003573
MSTRG.15402	Zm00001d003574
MSTRG.15403	Zm00001d003575
MSTRG.15405	Zm00001d003590
MSTRG.15406	Zm00001d003583
MSTRG.15408	Zm00001d003584
MSTRG.15409	Zm00001d003588
MSTRG.15409	Zm00001d003589
MSTRG.15412	Zm00001d003592
MSTRG.15415	Zm00001d003593
MSTRG.15416	Zm00001d003594
MSTRG.15417	Zm00001d003598
MSTRG.15418	Zm00001d003602
MSTRG.15419	Zm00001d003601
MSTRG.15420	Zm00001d003600
MSTRG.15423	Zm00001d003603
MSTRG.15424	Zm00001d003604
MSTRG.15426	Zm00001d003605
MSTRG.15427	Zm00001d003606
MSTRG.15429	Zm00001d003607
MSTRG.15430	Zm00001d003615
MSTRG.15431	Zm00001d003610
MSTRG.15435	Zm00001d003611
MSTRG.15437	Zm00001d003612
MSTRG.15437	Zm00001d003613
MSTRG.15440	Zm00001d003614
MSTRG.15441	Zm00001d003616
MSTRG.15444	Zm00001d003625
MSTRG.15446	Zm00001d003617
MSTRG.15447	Zm00001d003618
MSTRG.15450	Zm00001d003619
MSTRG.15451	Zm00001d003620
MSTRG.15453	Zm00001d003621
MSTRG.15457	Zm00001d003622
MSTRG.15458	Zm00001d003623
MSTRG.15459	Zm00001d003624
MSTRG.15461	Zm00001d003639
MSTRG.15462	Zm00001d003632
MSTRG.15463	Zm00001d003626
MSTRG.15466	Zm00001d003627
MSTRG.15467	Zm00001d003628
MSTRG.15468	Zm00001d003629
MSTRG.15469	Zm00001d003630
MSTRG.15470	Zm00001d003631
MSTRG.15471	Zm00001d003634
MSTRG.15472	Zm00001d003635
MSTRG.15473	Zm00001d003636
MSTRG.15474	Zm00001d003637
MSTRG.15476	Zm00001d003638
MSTRG.15478	Zm00001d003641
MSTRG.15479	Zm00001d003640
MSTRG.15482	Zm00001d003643
MSTRG.15484	Zm00001d003645
MSTRG.15485	Zm00001d003644
MSTRG.15488	Zm00001d003646
MSTRG.15489	Zm00001d003647
MSTRG.15493	Zm00001d003653
MSTRG.15494	Zm00001d003648
MSTRG.15495	Zm00001d003649
MSTRG.15496	Zm00001d003650
MSTRG.15497	Zm00001d003651
MSTRG.15498	Zm00001d003652
MSTRG.15499	Zm00001d003654
MSTRG.15501	Zm00001d003657
MSTRG.15502	Zm00001d003655
MSTRG.15503	Zm00001d003656
MSTRG.15505	Zm00001d003658
MSTRG.15506	Zm00001d003659
MSTRG.15508	Zm00001d003660
MSTRG.15509	Zm00001d003661
MSTRG.15510	Zm00001d003677
MSTRG.15512	Zm00001d003662
MSTRG.15514	Zm00001d003664
MSTRG.15515	Zm00001d003663
MSTRG.15518	Zm00001d003666
MSTRG.15519	Zm00001d003669
MSTRG.15521	Zm00001d003667
MSTRG.15522	Zm00001d003668
MSTRG.15524	Zm00001d003670
MSTRG.15526	Zm00001d003671
MSTRG.15527	Zm00001d003673
MSTRG.15528	Zm00001d003672
MSTRG.15530	Zm00001d003676
MSTRG.15531	Zm00001d003674
MSTRG.15531	Zm00001d003675
MSTRG.15533	Zm00001d003678
MSTRG.15536	Zm00001d003680
MSTRG.15537	Zm00001d003679
MSTRG.15538	Zm00001d003683
MSTRG.15542	Zm00001d003691
MSTRG.15548	Zm00001d003698
MSTRG.15549	Zm00001d003689
MSTRG.15550	Zm00001d003690
MSTRG.15551	Zm00001d003684
MSTRG.15552	Zm00001d003685
MSTRG.15553	Zm00001d003703
MSTRG.15560	Zm00001d003706
MSTRG.15563	Zm00001d003712
MSTRG.15564	Zm00001d003707
MSTRG.15565	Zm00001d003709
MSTRG.15566	Zm00001d003710
MSTRG.15570	Zm00001d003719
MSTRG.15572	Zm00001d003713
MSTRG.15574	Zm00001d003714
MSTRG.15575	Zm00001d003715
MSTRG.15577	Zm00001d003716
MSTRG.15578	Zm00001d003718
MSTRG.15579	Zm00001d003717
MSTRG.15582	Zm00001d003743
MSTRG.15583	Zm00001d003744
MSTRG.15584	Zm00001d003723
MSTRG.15585	Zm00001d003724
MSTRG.15587	Zm00001d003725
MSTRG.15588	Zm00001d003726
MSTRG.15590	Zm00001d003727
MSTRG.15592	Zm00001d003728
MSTRG.15593	Zm00001d003729
MSTRG.15594	Zm00001d003730
MSTRG.15595	Zm00001d003731
MSTRG.15596	Zm00001d003732
MSTRG.15597	Zm00001d003733
MSTRG.15598	Zm00001d003735
MSTRG.15599	Zm00001d003736
MSTRG.15600	Zm00001d003739
MSTRG.15601	Zm00001d003740
MSTRG.15602	Zm00001d003741
MSTRG.15603	Zm00001d003742
