"","v4_gene_model","v3_gene_model","V1"
"13122","Zm00001d015613","GRMZM2G145500","MSTRG.37704"
"13123","Zm00001d015614","GRMZM2G145444","MSTRG.37703"
"13124","Zm00001d015616","GRMZM5G815077","MSTRG.37711"
"13125","Zm00001d015618","GRMZM5G844562","MSTRG.37705"
"13126","Zm00001d015623","GRMZM2G417945","MSTRG.37684"
"13127","Zm00001d015627","GRMZM2G377553","MSTRG.37690"
"13128","Zm00001d015628","GRMZM2G076263","MSTRG.37686"
"13130","Zm00001d015634","GRMZM2G300672","MSTRG.37714"
"13131","Zm00001d015635","GRMZM2G071626","MSTRG.37713"
"13132","Zm00001d015637","GRMZM2G103937","MSTRG.37715"
"13135","Zm00001d015638","GRMZM2G086587","MSTRG.37722"
"13136","Zm00001d015639","GRMZM2G079653","MSTRG.37725"
"13140","Zm00001d015644","GRMZM2G079050","Zm00001d015644"
"13142","Zm00001d015649","GRMZM2G103070","MSTRG.37730"
"13143","Zm00001d015651","GRMZM5G849107","MSTRG.37731"
"13144","Zm00001d015654","GRMZM2G065781","MSTRG.37734"
"13146","Zm00001d015656","GRMZM2G112429","MSTRG.37735"
"13149","Zm00001d015657","GRMZM2G139650","MSTRG.37729"
"13151","Zm00001d015658","GRMZM2G332562","MSTRG.37738"
"13152","Zm00001d015661","GRMZM2G379490","MSTRG.37741"
"13153","Zm00001d015662","GRMZM2G080129","MSTRG.37739"
"13154","Zm00001d015664","GRMZM2G080111","MSTRG.37744"
"13156","Zm00001d015665","GRMZM2G080083","Zm00001d015665"
"13157","Zm00001d015669","GRMZM2G000411","Zm00001d015669"
"13158","Zm00001d015670","GRMZM2G175425","MSTRG.37748"
"13159","Zm00001d015673","GRMZM2G426140","Zm00001d015673"
"13161","Zm00001d015675","GRMZM2G429781","MSTRG.37751"
"13162","Zm00001d015686","AC197355.3_FG001","MSTRG.37765"
"13163","Zm00001d015693","GRMZM2G041878","MSTRG.37788"
"13164","Zm00001d015697","AC205425.3_FG006","MSTRG.37777"
"13165","Zm00001d015698","GRMZM2G102189","MSTRG.37793"
"13166","Zm00001d015700","GRMZM2G170577","MSTRG.37796"
"13167","Zm00001d015702","GRMZM2G344163","MSTRG.37796"
"13168","Zm00001d015703","GRMZM2G014577","MSTRG.37812"
"13169","Zm00001d015705","GRMZM2G015033","MSTRG.37810"
"13173","Zm00001d015706","GRMZM2G143786","Zm00001d015706"
"13174","Zm00001d015714","GRMZM2G005592","MSTRG.37822"
"13175","Zm00001d015715","GRMZM2G012904","MSTRG.37830"
"13176","Zm00001d015717","AC212354.3_FG002","MSTRG.37836"
"13177","Zm00001d015718","GRMZM5G877198","Zm00001d015718"
"13178","Zm00001d015720","GRMZM2G001889","MSTRG.37850"
"13179","Zm00001d015721","GRMZM2G045319","Zm00001d015721"
"13183","Zm00001d015724","GRMZM2G052821","MSTRG.37859"
"13187","Zm00001d015729","GRMZM2G006107","MSTRG.37881"
"13191","Zm00001d015730","GRMZM2G335019","MSTRG.37885"
"13193","Zm00001d015731","GRMZM2G394311","Zm00001d015731"
"13194","Zm00001d015737","GRMZM2G094353","MSTRG.37877"
"13196","Zm00001d015741","GRMZM2G147894","MSTRG.37876"
"13197","Zm00001d015742","GRMZM2G437758","MSTRG.37893"
"13198","Zm00001d015743","GRMZM2G137046","MSTRG.37895"
"13199","Zm00001d015744","GRMZM2G052011","MSTRG.37890"
"13203","Zm00001d015746","GRMZM2G144081","MSTRG.37887"
"13206","Zm00001d015747","GRMZM2G008647","MSTRG.37903"
"13207","Zm00001d015748","GRMZM2G305096","MSTRG.37904"
"13208","Zm00001d015754","GRMZM2G056661","MSTRG.37922"
"13209","Zm00001d015757","GRMZM2G020419","Zm00001d015757"
"13210","Zm00001d015758","GRMZM2G085587","MSTRG.37915"
"13211","Zm00001d015759","GRMZM2G085678","MSTRG.37914"
"13212","Zm00001d015765","GRMZM2G159155","MSTRG.37944"
"13217","Zm00001d015767","GRMZM2G132095","MSTRG.37940"
"13218","Zm00001d015769","GRMZM2G453152","MSTRG.37934"
"13219","Zm00001d015770","GRMZM2G039016","MSTRG.37937"
"13220","Zm00001d015772","GRMZM2G070744","MSTRG.37939"
"13221","Zm00001d015775","GRMZM2G396169","MSTRG.37942"
"13222","Zm00001d015776","GRMZM2G497531","MSTRG.37961"
"13223","Zm00001d015777","GRMZM5G803365","MSTRG.37962"
"13224","Zm00001d015778","GRMZM2G069649","MSTRG.37960"
"13225","Zm00001d015780","GRMZM2G452633","MSTRG.37963"
"13226","Zm00001d015783","GRMZM2G117872","MSTRG.37965"
"13227","Zm00001d015785","GRMZM2G117823","MSTRG.37967"
"13228","Zm00001d015788","GRMZM2G171604","MSTRG.37970"
"13229","Zm00001d015789","GRMZM2G470666","MSTRG.37974"
"13231","Zm00001d015791","GRMZM2G055826","MSTRG.37976"
"13232","Zm00001d015795","GRMZM2G117700","MSTRG.37983"
"13233","Zm00001d015796","GRMZM2G569390","MSTRG.37985"
"13234","Zm00001d015798","GRMZM2G145242","MSTRG.37991"
"13236","Zm00001d015802","GRMZM2G107737","MSTRG.37993"
"13237","Zm00001d015804","GRMZM2G138349","MSTRG.37998"
"13238","Zm00001d015805","GRMZM2G113579","MSTRG.37999"
"13239","Zm00001d015806","AC194937.3_FG004","MSTRG.38001"
"13240","Zm00001d015810","GRMZM2G081642","MSTRG.38011"
"13241","Zm00001d015815","GRMZM2G143433","Zm00001d015815"
"13242","Zm00001d015816","GRMZM2G007757","MSTRG.38017"
"13243","Zm00001d015817","GRMZM2G180903","MSTRG.38019"
"13244","Zm00001d015821","GRMZM2G151755","MSTRG.38020"
"13245","Zm00001d015825","GRMZM2G151755","MSTRG.38026"
"13246","Zm00001d015829","GRMZM2G029951","MSTRG.38028"
"13247","Zm00001d015830","GRMZM2G701784","MSTRG.38029"
"13248","Zm00001d015833","GRMZM2G153635","MSTRG.38032"
"13249","Zm00001d015837","GRMZM2G130064","MSTRG.38037"
"13250","Zm00001d015839","GRMZM2G129987","MSTRG.38044"
"13251","Zm00001d015842","GRMZM2G087719","MSTRG.38046"
"13253","Zm00001d015844","GRMZM2G331374","MSTRG.38048"
"13254","Zm00001d015848","AC210949.4_FG003","MSTRG.38054"
"13255","Zm00001d015851","GRMZM2G145376","MSTRG.38052"
"13256","Zm00001d015852","GRMZM2G009479","MSTRG.38059"
"13267","Zm00001d015853","GRMZM2G306771","MSTRG.38051"
"13268","Zm00001d015856","GRMZM2G063851","MSTRG.38060"
"13271","Zm00001d015860","GRMZM2G390385","MSTRG.38069"
"13272","Zm00001d015861","GRMZM2G090480","MSTRG.38070"
"13273","Zm00001d015862","GRMZM2G309759","MSTRG.38072"
"13275","Zm00001d015863","GRMZM2G009913","MSTRG.38073"
"13279","Zm00001d015865","GRMZM2G326545","MSTRG.38074"
"13282","Zm00001d015867","GRMZM2G082504","MSTRG.38063"
"13285","Zm00001d015868","GRMZM2G323553","Zm00001d015868"
"13287","Zm00001d015870","GRMZM2G039463","MSTRG.38076"
"13288","Zm00001d015871","GRMZM2G340076","MSTRG.38077"
"13290","Zm00001d015874","GRMZM2G039329","MSTRG.38078"
"13291","Zm00001d015877","AC212351.4_FG001","MSTRG.38084"
"13292","Zm00001d015880","AC234148.1_FG001","Zm00001d015880"
"13293","Zm00001d015884","GRMZM2G024024","MSTRG.38093"
"13294","Zm00001d015885","GRMZM2G435438","MSTRG.38094"
"13295","Zm00001d015886","GRMZM2G038126","MSTRG.38098"
"13301","Zm00001d015887","GRMZM2G457231","Zm00001d015887"
"13302","Zm00001d015889","GRMZM2G041247","MSTRG.38097"
"13303","Zm00001d015890","GRMZM2G052880","MSTRG.38147"
"13304","Zm00001d015891","GRMZM5G816031","Zm00001d015891"
"13305","Zm00001d015893","GRMZM2G029258","MSTRG.38100"
"13306","Zm00001d015895","GRMZM2G124573","MSTRG.38105"
"13307","Zm00001d015899","GRMZM2G109291","Zm00001d015899"
"13308","Zm00001d015901","GRMZM2G082517","MSTRG.38109"
"13310","Zm00001d015907","GRMZM2G396411","Zm00001d015907"
"13311","Zm00001d015914","GRMZM2G144581","MSTRG.38133"
"13316","Zm00001d015917","GRMZM2G349996","MSTRG.38138"
"13317","Zm00001d015918","GRMZM2G103864","MSTRG.38136"
"13319","Zm00001d015921","GRMZM2G071089","MSTRG.38140"
"13323","Zm00001d015925","GRMZM5G848733","MSTRG.38139"
"13324","Zm00001d015927","AC198206.5_FG001","MSTRG.38143"
"13325","Zm00001d015929","GRMZM2G061876","MSTRG.38171"
"13326","Zm00001d015932","GRMZM2G484880","MSTRG.38181"
"13327","Zm00001d015934","GRMZM2G008593","MSTRG.38159"
"13332","Zm00001d015939","GRMZM2G132671","MSTRG.38167"
"13333","Zm00001d015945","GRMZM2G091293","MSTRG.38186"
"13335","Zm00001d015948","GRMZM5G861603","MSTRG.38191"
"13336","Zm00001d015949","GRMZM2G028060","Zm00001d015949"
"13337","Zm00001d015952","GRMZM2G081075","MSTRG.38195"
"13338","Zm00001d015955","GRMZM2G118098","MSTRG.38200"
"13340","Zm00001d015956","GRMZM2G179981","MSTRG.38193"
"13342","Zm00001d015957","GRMZM2G060781","Zm00001d015957"
"13343","Zm00001d015960","GRMZM2G166330","MSTRG.38206"
"13346","Zm00001d015962","GRMZM2G174572","MSTRG.38208"
"13347","Zm00001d015963","GRMZM2G174458","MSTRG.38201"
"13349","Zm00001d015965","GRMZM2G021015","MSTRG.38210"
"13350","Zm00001d015968","GRMZM2G119725","MSTRG.38213"
"13352","Zm00001d015969","GRMZM2G025448","MSTRG.38216"
"13353","Zm00001d015970","GRMZM2G062199","MSTRG.38220"
"13356","Zm00001d015971","GRMZM2G176922","MSTRG.38220"
"13357","Zm00001d015973","GRMZM2G111022","MSTRG.38219"
"13359","Zm00001d015974","GRMZM2G055705","MSTRG.38229"
"13362","Zm00001d015975","GRMZM2G081268","MSTRG.38223"
"13364","Zm00001d015977","GRMZM5G886185","MSTRG.38227"
"13365","Zm00001d015984","GRMZM2G105494","MSTRG.38232"
"13371","Zm00001d015985","GRMZM2G009785","MSTRG.38235"
"13374","Zm00001d015986","GRMZM2G049021","MSTRG.38239"
"13376","Zm00001d015987","GRMZM2G431989","MSTRG.38241"
"13377","Zm00001d015988","GRMZM2G019553","MSTRG.38242"
"13378","Zm00001d015989","GRMZM5G883138","MSTRG.38237"
"13379","Zm00001d015990","GRMZM2G388148","MSTRG.38260"
"13383","Zm00001d015992","GRMZM2G177404","MSTRG.38263"
"13384","Zm00001d015995","GRMZM2G012464","MSTRG.38252"
"13385","Zm00001d015997","GRMZM2G012200","MSTRG.38257"
"13386","Zm00001d015999","GRMZM2G418206","MSTRG.38254"
"13388","Zm00001d016000","GRMZM2G073836","MSTRG.38271"
"13390","Zm00001d016001","GRMZM2G173729","Zm00001d016001"
"13391","Zm00001d016002","GRMZM2G102021","MSTRG.38270"
"13393","Zm00001d016006","GRMZM2G069596","MSTRG.38294"
"13397","Zm00001d016008","GRMZM2G053925","MSTRG.38293"
"13400","Zm00001d016014","GRMZM2G346095","MSTRG.38302"
"13401","Zm00001d016016","GRMZM2G346133","MSTRG.38300"
"13403","Zm00001d016017","GRMZM2G147210","MSTRG.38305"
"13404","Zm00001d016019","GRMZM2G147172","MSTRG.38310"
"13405","Zm00001d016021","GRMZM2G146511","MSTRG.38297"
"13406","Zm00001d016024","GRMZM2G469701","Zm00001d016024"
"13407","Zm00001d016029","GRMZM2G011777","MSTRG.38314"
"13408","Zm00001d016031","GRMZM2G029400","MSTRG.38316"
"13411","Zm00001d016034","GRMZM2G130425","MSTRG.38318"
"13416","Zm00001d016036","GRMZM2G039930","MSTRG.38320"
"13417","Zm00001d016037","GRMZM2G024260","MSTRG.38329"
"13421","Zm00001d016041","AC192451.3_FG001","MSTRG.38336"
"13422","Zm00001d016044","GRMZM2G039826","MSTRG.38340"
"13423","Zm00001d016045","GRMZM2G138587","MSTRG.38346"
"13424","Zm00001d016049","GRMZM2G109315","MSTRG.38342"
"13427","Zm00001d016052","GRMZM2G048450","MSTRG.38349"
"13428","Zm00001d016054","GRMZM2G069332","MSTRG.38351"
"13429","Zm00001d016057","GRMZM2G344453","MSTRG.38322"
"13430","Zm00001d016059","GRMZM2G059887","MSTRG.38324"
"13431","Zm00001d016060","GRMZM2G140582","MSTRG.38326"
"13432","Zm00001d016061","GRMZM2G439596","MSTRG.38328"
"13433","Zm00001d016062","GRMZM2G140561","MSTRG.38325"
"13435","Zm00001d016063","GRMZM2G172376","MSTRG.38353"
"13439","Zm00001d016064","AC185427.5_FG004","MSTRG.38376"
"13440","Zm00001d016066","GRMZM2G120408","MSTRG.38377"
"13443","Zm00001d016069","GRMZM2G170255","MSTRG.38380"
"13444","Zm00001d016070","GRMZM2G063162","MSTRG.38381"
"13446","Zm00001d016072","GRMZM2G018403","MSTRG.38385"
"13447","Zm00001d016073","GRMZM2G018578","MSTRG.38386"
"13448","Zm00001d016075","GRMZM2G092154","MSTRG.38383"
"13449","Zm00001d016076","GRMZM2G455440","MSTRG.38389"
"13450","Zm00001d016077","GRMZM2G300841","MSTRG.38390"
"13451","Zm00001d016080","GRMZM2G039443","MSTRG.38396"
"13452","Zm00001d016081","GRMZM2G060167","MSTRG.38393"
"13455","Zm00001d016082","GRMZM2G060253","MSTRG.38399"
"13461","Zm00001d016083","GRMZM2G107380","MSTRG.38398"
"13464","Zm00001d016084","GRMZM2G375172","MSTRG.38402"
"13467","Zm00001d016087","GRMZM2G300119","MSTRG.38356"
"13468","Zm00001d016091","GRMZM2G148277","MSTRG.38359"
"13469","Zm00001d016095","GRMZM2G064638","MSTRG.38367"
"13470","Zm00001d016098","GRMZM2G165726","MSTRG.38364"
"13471","Zm00001d016099","GRMZM2G395392","MSTRG.38370"
"13472","Zm00001d016100","GRMZM2G095082","MSTRG.38369"
"13475","Zm00001d016103","AC214771.3_FG003","MSTRG.38373"
"13476","Zm00001d016104","AC214771.3_FG002","MSTRG.38374"
"13477","Zm00001d016105","GRMZM2G063882","MSTRG.38419"
"13482","Zm00001d016106","GRMZM2G442404","MSTRG.38420"
"13485","Zm00001d016119","GRMZM2G155816","MSTRG.38406"
"13487","Zm00001d016120","GRMZM2G120001","MSTRG.38405"
"13488","Zm00001d016121","GRMZM2G554483","MSTRG.38424"
"13489","Zm00001d016128","GRMZM2G412436","MSTRG.38431"
"13490","Zm00001d016129","GRMZM2G055754","MSTRG.38432"
"13498","Zm00001d016130","GRMZM2G159759","MSTRG.38423"
"13501","Zm00001d016131","GRMZM2G010075","MSTRG.38435"
"13502","Zm00001d016132","GRMZM2G105498","Zm00001d016132"
"13503","Zm00001d016134","GRMZM2G162748","MSTRG.38439"
"13507","Zm00001d016135","GRMZM2G028444","MSTRG.38441"
"13508","Zm00001d016136","GRMZM2G384913","MSTRG.38442"
"13509","Zm00001d016137","GRMZM2G163539","MSTRG.38443"
"13510","Zm00001d016139","GRMZM2G098925","Zm00001d016139"
"13511","Zm00001d016140","GRMZM2G358711","Zm00001d016140"
"13513","Zm00001d016142","GRMZM2G324111","Zm00001d016142"
"13515","Zm00001d016143","GRMZM2G020329","Zm00001d016143"
"13516","Zm00001d016144","GRMZM2G311919","MSTRG.38445"
"13521","Zm00001d016145","GRMZM5G888945","MSTRG.38450"
"13522","Zm00001d016146","AC200887.4_FG002","MSTRG.38451"
"13523","Zm00001d016149","GRMZM2G114675","MSTRG.38452"
"13525","Zm00001d016151","GRMZM2G329029","MSTRG.38448"
"13526","Zm00001d016152","GRMZM2G330698","MSTRG.38454"
"13528","Zm00001d016154","GRMZM2G158313","MSTRG.38455"
"13530","Zm00001d016155","GRMZM2G111529","MSTRG.38469"
"13536","Zm00001d016157","GRMZM2G023003","MSTRG.38469"
"13538","Zm00001d016158","GRMZM2G049390","MSTRG.38456"
"13539","Zm00001d016160","GRMZM2G178356","MSTRG.38458"
"13542","Zm00001d016161","GRMZM2G091653","MSTRG.38463"
"13543","Zm00001d016162","AC211190.4_FG004","MSTRG.38464"
"13544","Zm00001d016164","GRMZM2G007288","MSTRG.38467"
"13545","Zm00001d016165","GRMZM2G126447","MSTRG.38470"
"13546","Zm00001d016175","GRMZM2G477238","MSTRG.38513"
"13548","Zm00001d016176","GRMZM2G177061","MSTRG.38514"
"13549","Zm00001d016181","GRMZM2G106338","MSTRG.38488"
"13550","Zm00001d016183","GRMZM2G405575","MSTRG.38491"
"13551","Zm00001d016185","GRMZM2G405459","MSTRG.38492"
"13552","Zm00001d016188","GRMZM2G151916","MSTRG.38518"
"13553","Zm00001d016189","GRMZM2G033538","Zm00001d016189"
"13554","Zm00001d016195","GRMZM2G411893","MSTRG.38480"
"13555","Zm00001d016197","GRMZM2G146794","MSTRG.38485"
"13558","Zm00001d016198","GRMZM2G146677","MSTRG.38521"
"13559","Zm00001d016199","GRMZM2G429540","MSTRG.38522"
"13560","Zm00001d016200","GRMZM2G014444","MSTRG.38521"
"13561","Zm00001d016202","GRMZM2G313707","MSTRG.38527"
"13562","Zm00001d016203","GRMZM2G015972","MSTRG.38522"
"13564","Zm00001d016216","GRMZM2G474113","MSTRG.38519"
"13565","Zm00001d016219","GRMZM2G174128","MSTRG.38544"
"13566","Zm00001d016223","GRMZM2G383881","MSTRG.38547"
"13569","Zm00001d016225","GRMZM2G160370","MSTRG.38549"
"13574","Zm00001d016228","GRMZM2G026490","MSTRG.38550"
"13576","Zm00001d016230","GRMZM2G138423","MSTRG.38555"
"13579","Zm00001d016231","GRMZM2G369018","Zm00001d016231"
"13582","Zm00001d016232","GRMZM2G067984","MSTRG.38541"
"13583","Zm00001d016234","GRMZM2G328060","MSTRG.38556"
"13584","Zm00001d016235","GRMZM5G899985","MSTRG.38558"
"13585","Zm00001d016236","GRMZM2G002199","MSTRG.38560"
"13586","Zm00001d016237","GRMZM2G041980","MSTRG.38565"
"13588","Zm00001d016238","GRMZM2G078294","MSTRG.38567"
"13589","Zm00001d016239","GRMZM2G016393","MSTRG.38563"
"13590","Zm00001d016242","GRMZM2G424519","MSTRG.38596"
"13591","Zm00001d016248","GRMZM2G135588","MSTRG.38574"
"13592","Zm00001d016252","GRMZM2G079954","MSTRG.38576"
"13593","Zm00001d016253","GRMZM2G108016","MSTRG.38580"
"13595","Zm00001d016254","GRMZM2G019971","MSTRG.38582"
"13597","Zm00001d016255","GRMZM2G105348","MSTRG.38584"
"13598","Zm00001d016256","GRMZM2G092968","MSTRG.38585"
"13599","Zm00001d016257","GRMZM5G863198","Zm00001d016257"
"13600","Zm00001d016259","GRMZM2G312827","Zm00001d016259"
"13602","Zm00001d016260","GRMZM2G005301","MSTRG.38591"
"13603","Zm00001d016265","GRMZM2G349103","MSTRG.38594"
"13604","Zm00001d016266","GRMZM2G047818","Zm00001d016266"
"13605","Zm00001d016268","AC191147.3_FG002","Zm00001d016268"
"13606","Zm00001d016271","GRMZM5G891967","MSTRG.38600"
"13607","Zm00001d016273","GRMZM2G164950","MSTRG.38601"
"13608","Zm00001d016274","GRMZM2G012923","MSTRG.38597"
"13610","Zm00001d016275","AC219159.3_FG002","Zm00001d016275"
"13611","Zm00001d016276","GRMZM2G091383","MSTRG.38606"
"13615","Zm00001d016277","GRMZM2G121309","MSTRG.38607"
"13619","Zm00001d016278","GRMZM2G121366","MSTRG.38609"
"13620","Zm00001d016280","GRMZM2G139412","MSTRG.38612"
"13621","Zm00001d016280","GRMZM2G139412","MSTRG.38611"
"13622","Zm00001d016284","GRMZM2G476294","MSTRG.38615"
"13623","Zm00001d016285","GRMZM2G176206","MSTRG.38616"
"13626","Zm00001d016286","GRMZM5G873594","MSTRG.38618"
"13627","Zm00001d016288","GRMZM5G852073","MSTRG.38621"
"13628","Zm00001d016291","GRMZM2G039948","MSTRG.38625"
"13629","Zm00001d016294","GRMZM2G154987","MSTRG.38626"
"13630","Zm00001d016297","GRMZM2G462894","MSTRG.38631"
"13631","Zm00001d016298","GRMZM2G161435","MSTRG.38632"
"13633","Zm00001d016299","GRMZM2G161299","MSTRG.38630"
"13640","Zm00001d016301","GRMZM2G021106","MSTRG.38646"
"13641","Zm00001d016302","GRMZM2G021364","MSTRG.38647"
"13642","Zm00001d016303","GRMZM5G808876","MSTRG.38648"
"13643","Zm00001d016306","GRMZM2G453575","MSTRG.38651"
"13644","Zm00001d016311","GRMZM2G021110","MSTRG.38659"
"13645","Zm00001d016315","GRMZM2G303161","MSTRG.38637"
"13646","Zm00001d016319","GRMZM2G161908","MSTRG.38641"
"13647","Zm00001d016325","AC198766.3_FG005","Zm00001d016325"
"13648","Zm00001d016326","GRMZM2G177781","MSTRG.38670"
"13649","Zm00001d016332","GRMZM2G119623","MSTRG.38672"
"13651","Zm00001d016340","GRMZM5G824763","MSTRG.38678"
"13652","Zm00001d016342","GRMZM2G362312","MSTRG.38675"
"13653","Zm00001d016347","GRMZM2G066614","MSTRG.38685"
"13655","Zm00001d016348","GRMZM2G467391","MSTRG.38696"
"13656","Zm00001d016349","GRMZM2G167356","MSTRG.38697"
"13657","Zm00001d016350","GRMZM2G167347","MSTRG.38698"
"13658","Zm00001d016351","GRMZM2G028366","MSTRG.38699"
"13664","Zm00001d016354","GRMZM2G170559","MSTRG.38701"
"13666","Zm00001d016357","GRMZM2G180740","MSTRG.38708"
"13667","Zm00001d016358","GRMZM2G029559","MSTRG.38709"
"13672","Zm00001d016359","GRMZM2G378340","MSTRG.38712"
"13673","Zm00001d016361","GRMZM2G031983","MSTRG.38711"
"13677","Zm00001d016363","GRMZM2G318633","MSTRG.38714"
"13678","Zm00001d016364","GRMZM2G014826","MSTRG.38713"
"13679","Zm00001d016365","GRMZM2G015132","MSTRG.38710"
"13681","Zm00001d016371","GRMZM2G073630","MSTRG.38724"
"13687","Zm00001d016373","GRMZM2G027875","MSTRG.38729"
"13694","Zm00001d016374","GRMZM2G163713","MSTRG.38730"
"13695","Zm00001d016377","AC190526.3_FG004","MSTRG.38718"
"13696","Zm00001d016378","GRMZM2G133464","MSTRG.38720"
"13697","Zm00001d016379","GRMZM2G133430","MSTRG.38735"
"13698","Zm00001d016381","GRMZM2G163572","MSTRG.38737"
"13699","Zm00001d016382","GRMZM2G415433","MSTRG.38739"
"13701","Zm00001d016393","GRMZM2G430308","Zm00001d016393"
"13702","Zm00001d016394","GRMZM2G021998","MSTRG.38734"
"13703","Zm00001d016395","GRMZM2G341171","Zm00001d016395"
"13704","Zm00001d016396","GRMZM2G011160","MSTRG.38768"
"13707","Zm00001d016397","GRMZM2G105391","MSTRG.38770"
"13708","Zm00001d016400","GRMZM2G406089","MSTRG.38772"
"13709","Zm00001d016402","GRMZM2G124886","MSTRG.38766"
"13710","Zm00001d016407","GRMZM2G038374","MSTRG.38773"
"13712","Zm00001d016408","GRMZM2G154789","MSTRG.38742"
"13716","Zm00001d016409","GRMZM2G057622","Zm00001d016409"
"13717","Zm00001d016410","GRMZM2G057642","MSTRG.38744"
"13724","Zm00001d016411","GRMZM2G359038","MSTRG.38754"
"13725","Zm00001d016417","GRMZM2G008935","MSTRG.38759"
"13726","Zm00001d016432","AC200215.3_FG002","MSTRG.38751"
"13727","Zm00001d016436","GRMZM2G452960","MSTRG.38763"
"13728","Zm00001d016438","GRMZM2G569948","MSTRG.38765"
"13729","Zm00001d016439","GRMZM2G137528","MSTRG.38783"
"13732","Zm00001d016440","GRMZM2G137495","MSTRG.38784"
"13733","Zm00001d016441","GRMZM2G412604","MSTRG.38785"
"13734","Zm00001d016442","GRMZM2G160273","MSTRG.38788"
"13737","Zm00001d016443","GRMZM2G160327","MSTRG.38789"
"13738","Zm00001d016444","GRMZM2G098278","MSTRG.38790"
"13739","Zm00001d016448","GRMZM2G178641","MSTRG.38795"
"13740","Zm00001d016452","GRMZM2G128865","MSTRG.38797"
"13741","Zm00001d016453","GRMZM2G038882","MSTRG.38779"
"13742","Zm00001d016456","GRMZM2G024976","MSTRG.38782"
"13744","Zm00001d016457","GRMZM2G073272","MSTRG.38780"
"13748","Zm00001d016458","GRMZM2G135691","MSTRG.38805"
"13749","Zm00001d016459","GRMZM2G386155","MSTRG.38806"
"13750","Zm00001d016461","GRMZM2G386154","MSTRG.38807"
"13752","Zm00001d016463","GRMZM2G027886","MSTRG.38810"
"13753","Zm00001d016465","GRMZM2G115257","MSTRG.38812"
"13754","Zm00001d016469","GRMZM2G064136","MSTRG.38820"
"13755","Zm00001d016470","GRMZM2G084609","MSTRG.38823"
"13758","Zm00001d016471","GRMZM2G028677","MSTRG.38816"
"13759","Zm00001d016472","GRMZM2G028763","MSTRG.38824"
"13761","Zm00001d016473","GRMZM2G328961","MSTRG.38825"
"13764","Zm00001d016474","GRMZM2G102560","MSTRG.38822"
"13765","Zm00001d016475","GRMZM2G090068","MSTRG.38802"
"13767","Zm00001d016477","GRMZM2G015441","MSTRG.38827"
"13768","Zm00001d016478","GRMZM2G052402","MSTRG.38826"
"13769","Zm00001d016479","GRMZM2G052435","MSTRG.38832"
"13771","Zm00001d016483","GRMZM2G012046","MSTRG.38836"
"13772","Zm00001d016486","GRMZM2G366698","MSTRG.38833"
"13776","Zm00001d016490","GRMZM2G078272","MSTRG.38840"
"13779","Zm00001d016491","GRMZM2G377600","MSTRG.38843"
"13782","Zm00001d016492","GRMZM2G078050","MSTRG.38845"
"13783","Zm00001d016493","GRMZM2G077989","MSTRG.38846"
"13785","Zm00001d016495","GRMZM2G001173","MSTRG.38849"
"13786","Zm00001d016496","GRMZM5G829738","MSTRG.38850"
"13787","Zm00001d016510","GRMZM2G380284","MSTRG.38874"
"13788","Zm00001d016511","GRMZM2G037314","MSTRG.38875"
"13789","Zm00001d016512","GRMZM2G336858","MSTRG.38876"
"13790","Zm00001d016516","GRMZM2G123587","MSTRG.38877"
"13791","Zm00001d016519","GRMZM2G149115","MSTRG.38881"
"13792","Zm00001d016521","GRMZM5G828460","MSTRG.38866"
"13793","Zm00001d016522","AC234169.1_FG004","MSTRG.38865"
"13794","Zm00001d016524","GRMZM2G106807","Zm00001d016524"
"13795","Zm00001d016527","GRMZM2G112790","MSTRG.38887"
"13796","Zm00001d016528","GRMZM2G089676","MSTRG.38890"
"13797","Zm00001d016530","GRMZM2G092991","MSTRG.38892"
"13798","Zm00001d016531","GRMZM2G130046","MSTRG.38884"
"13801","Zm00001d016533","GRMZM2G430526","MSTRG.38888"
"13802","Zm00001d016535","GRMZM2G346207","MSTRG.38896"
"13803","Zm00001d016542","GRMZM2G084279","MSTRG.38905"
"13804","Zm00001d016543","AC217840.3_FG001","MSTRG.38895"
"13805","Zm00001d016544","GRMZM2G024444","MSTRG.38906"
"13806","Zm00001d016545","GRMZM2G024561","MSTRG.38907"
"13808","Zm00001d016549","GRMZM2G043279","MSTRG.38905"
"13809","Zm00001d016550","GRMZM2G043602","MSTRG.38908"
"13813","Zm00001d016551","GRMZM2G043893","MSTRG.38912"
"13814","Zm00001d016552","GRMZM2G012690","MSTRG.38916"
"13817","Zm00001d016553","GRMZM2G011627","MSTRG.38908"
"13819","Zm00001d016557","GRMZM2G474531","MSTRG.38921"
"13824","Zm00001d016558","GRMZM2G004856","MSTRG.38922"
"13825","Zm00001d016559","GRMZM2G360589","MSTRG.38925"
"13826","Zm00001d016561","GRMZM2G307368","MSTRG.38924"
"13829","Zm00001d016565","GRMZM2G015333","MSTRG.38936"
"13830","Zm00001d016566","GRMZM2G123966","MSTRG.38932"
"13831","Zm00001d016567","GRMZM2G124026","MSTRG.38938"
"13832","Zm00001d016568","GRMZM2G386817","MSTRG.38939"
"13833","Zm00001d016569","GRMZM2G386811","MSTRG.38941"
"13834","Zm00001d016570","GRMZM2G143050","MSTRG.38942"
"13835","Zm00001d016572","GRMZM2G143008","MSTRG.38944"
"13836","Zm00001d016575","GRMZM2G162180","MSTRG.38947"
